filters,in_sample_mse,out_sample_mse,in_sample_rmse,out_sample_rmse,in_sample_mae,out_sample_mae,in_sample_mape,out_sample_mape,in_sample_r2,out_sample_r2
"[8, 16, 32]",0.009764197019016941,0.28761121368787507,0.09881395154034141,0.5362939620095262,0.077082789117268,0.509781256503544,408465758207.78577,0.7741014737934233,-0.0014940957441818004,-9.370241090642365
"[16, 32, 64]",4.319945112378369e-05,0.0021093606443053233,0.0065726289355008995,0.04592777639191041,0.005488077130855073,0.03297531509283259,218045205.0861734,0.047207256490380455,0.9955691189807419,0.9239439305996674
"[32, 64, 128]",0.00010317391180136124,0.006545135040853163,0.010157455970929003,0.08090200888020745,0.008585141584282066,0.05937109842164579,27849570204.93449,0.08323108114497456,0.9894176588916989,0.7640056259485126
